HPI Rank,Country,Sub-Region,"Life 
Expectancy","Well-being
(0-10)",Happy Life Years,"Footprint
(gha/capita)",Happy Planet Index,Population,"GDP/capita
($PPP)","Governance Rank
(1 = highest gov.)"
109,Afghanistan,3b,48.7,4.758380858,28.96388958,0.54033364,36.75365778,34385000,1207.280241,150
18,Albania,7b,76.9,5.268936604,48.77113228,1.811905593,54.05118037,3205000,8592.168756,65
26,Algeria,3a,73.1,5.236960708,46.18039491,1.648142319,52.18129773,35468000,8432.874685,118
127,Angola,4a,51.1,4.20609164,28.20926881,0.890610927,33.20143204,19082000,6186.489994,129
17,Argentina,1b,75.9,6.441067205,55.01527763,2.709071235,54.05504167,40412000,16011.6728,73
53,Armenia,7a,74.2,4.367811292,41.88916019,1.733440557,46.0031858,3092000,5463.2032,77
76,Australia,2a,81.9,7.405616149,65.47197793,6.68499159,41.97981195,22299000,38159.63365,10
48,Austria,2c,80.9,7.346035958,64.29990018,5.291345642,47.0851352,8390000,40006.18691,11
80,Azerbaijan,7a,70.7,4.218610823,39.09769485,1.9688118,40.88457003,9054000,9935.924425,114
146,Bahrain,3b,75.1,4.549465854,43.4520091,6.645130455,26.6178499,1262000,25799.49163,52
11,Bangladesh,5a,68.9,4.985649184,42.18832757,0.656558837,56.29200118,148692000,1659.15186,117
103,Belarus,7c,70.3,5.525923419,45.98211043,3.987825725,37.41460214,9490000,13928.82579,126
107,Belgium,2c,80,6.853514084,60.53820371,7.11051271,37.09052775,10896000,37631.06211,18
4,Belize,1a,76.1,6.450644319,55.21659446,2.10917,59.28984525,345000,6669.820614,63
132,Benin,4c,56.1,3.667139546,28.63181758,1.355719795,31.08320877,8850000,1587.340353,76
64,Bolivia,1b,66.6,5.780620289,44.87348935,2.606054729,43.57790791,9929000,4849.317967,95
74,Bosnia and Herzegovina,7b,75.7,4.668517409,44.49594618,2.738704294,42.35456003,3760000,8689.508856,86
151,Botswana,4a,53.2,3.553020146,26.68234667,2.842844762,22.59117373,2007000,13893.06407,39
21,Brazil,1b,73.5,6.837331186,55.52751215,2.934764729,52.93199603,194946000,11210.39081,53
123,Bulgaria,7b,73.4,4.220367451,40.60078637,3.564774414,34.14537942,7534000,13930.64979,49
129,Burkina Faso,4c,55.4,4.035560442,29.85260928,1.52578628,31.79385031,16468000,1255.937092,75
135,Burundi,4b,50.4,3.79168079,26.20800308,0.845377541,30.51501246,8382000,408.5535491,134
85,Cambodia,6c,63.1,4.161225375,34.61486942,1.19342113,40.32292067,14139000,2193.968522,115
124,Cameroon,4c,51.6,4.433885204,29.39406808,1.087925193,33.6866861,19599000,2294.360673,119
65,Canada,2b,81,7.650346263,66.2851436,6.428537676,43.55983899,34126000,39050.16732,9
148,Central African Republic,4a,48.4,3.567892459,24.3305702,1.356604961,25.25646081,4401000,788.8855537,141
150,Chad,4b,49.6,3.742871146,25.60482518,1.89141777,24.68189756,11227000,1370.184454,143
19,Chile,1b,79.1,6.635655696,58.52480018,3.237786332,53.88333757,17113688,15779.25948,23
60,China,6a,73.5,4.652736639,43.11312378,2.130289282,44.66073793,1338300000,7598.834968,99
3,Colombia,1b,73.7,6.408113706,53.23285759,1.801067791,59.75102256,46295000,9452.796069,80
112,Comoros,4a,61.1,3.92351296,32.3947767,1.30428,36.50447515,735000,1096.373581,127
121,Congo,4a,57.4,3.819792213,29.97275963,1.081816201,34.54703713,4043000,4245.17814,128
134,"Congo, Dem. Rep. of the",4a,48.4,3.983848565,25.88710921,0.758148809,30.54771793,65965000,346.9718799,148
1,Costa Rica,1a,79.3,7.271053807,62.5684836,2.520027779,64.03592581,4659000,11568.60844,40
113,Cote d'Ivoire,4c,55.4,4.197181518,30.54487831,0.994593431,35.93372902,19738000,1899.17711,137
82,Croatia,7b,76.6,5.59557522,50.5153442,4.19358543,40.6237226,4418000,19543.28189,44
12,Cuba,1a,79.1,5.417868479,51.07722257,1.895394735,56.18614803,11258000,5253,93
59,Cyprus,2e,79.6,6.386546111,57.36164145,4.441846008,45.50854977,1103000,31092.27667,24
92,Czech Republic,7b,77.7,6.152203608,54.58466215,5.273965432,39.35348717,10520000,24517.90296,27
110,Denmark,2d,78.8,7.770515285,65.21693246,8.253636745,36.61236885,5547000,40162.59001,2
106,Djibouti,4b,57.9,5.005810871,35.54314593,1.84912,37.23846246,889000,2308.087244,101
33,Dominican Republic,1a,73.4,4.735021226,43.52142864,1.422579552,50.65011421,9927000,9350.087904,88
23,Ecuador,1b,75.6,5.838051509,51.2731633,2.367701679,52.48136515,14465000,8027.559519,113
91,Egypt,3a,73.2,3.876922472,38.54642995,2.059464372,39.64464191,81121000,6179.971937,98
5,El Salvador,1a,72.2,6.739911151,54.00157609,1.993261915,58.88697549,6193000,6667.848272,61
117,Estonia,7b,74.8,5.137738838,46.68053696,4.73471371,34.94534537,1340000,20663.43202,25
94,Ethiopia,4b,59.3,4.370043934,33.48769176,1.132291282,39.18199991,82950000,1041.041718,124
70,Finland,2d,80,7.393264207,63.87669217,6.211172688,42.687146,5364000,36472.55056,1
